Year,Name
2021,DOROTHEA HUG PETER
2021,MATT BANNERT
2021,YANINA BELLINI SAIBENE
2021,ROCÍO JOO
2021,HEATHER TURNER
2021,JANANI RAVI
2021,RACHEL HEYARD
2021,MARCELA ALFARO CÓRDOBA
2021,SARA MORTARA
2021,FEDERICO MARINI
2021,VEBASH NAIDOO
2021,GRECIA CHÁVEZ
2021,ANA CAROLINA MORENO
2021,IHADDADEN M. EL FODIL
2021,LAURA ACIÓN
2021,ANDREA SÁNCHEZ TAPIA
2021,LIZ HARE
2021,JOSELYN CHÁVEZ
2021,NATALIA MORANDEIRA
2021,PAO CORRALES
2021,BATOOL ALMAZROUQ
2021,DANIELLE SMALLS
2021,ANICET EBOU
2021,ADITHI R. UPADHYA
2021,GORDANA POPOVIC
2021,MURIEL BURI
2021,FRANCESCA VITALINI
2021,AUDRIS CAMPBELL
2021,SHERLY TARAZONA
2021,FRANS VAN DUNNÉ
2021,DAVID YABAR
2021,BEN UBAH
2021,ELIO CAMPITELLI
2021,CHRISTOPH SAX
2021,PATRICK SCHRATZ
2021,JAKOB DAMBON
2021,FRANCISCO ETCHART
2021,SHELMITH KARIUKI
2021,BEATRIZ MILZ
2021,MILJENKA VUKO
2021,ALEJANDRA BELLINI
2021,ALEJANDRA HERNANDEZ SEGURA
2021,ANDREA GOMEZ
2021,SILVIA CANELÓN
2021,TIFFANY LY
2021,CAROLINE STEIGER
2021,TREVONNE GOODING-BARROW
2019,Nathalie Vialaneix
2019,Sébastien Déjean
2019,Anne Ruiz-Gazen
2019,Heather Turner
2019,Aurore Archimbaud
2019,Christophe Bontemps
2019,Robert Faivre
2019,Xavier Gendre
2019,Thibault Laurent
2019,Élise Maigné
2019,Pierre Neuvial
2019,Rémi Servien
2019,Matthias Zytnicki
2018,Jenny Bryan
2018,Steph De Silva 
2018,Heike Hofmann 
2018,Thomas Lin Pedersen 
2018,Roger Peng
2018,Bill Venables
2017,Tobias Verbeke
2017,Ziv Shkedy
2017,Heather Turner
2017,Matthias Verbeke
2016,John Chambers
2016,Sandrine Dudoit
2016,Trevor Hastie
2016,Susan Holmes
2016,Simon Jackman
2016,Olivia Lau
2016,Nicholas Lewin-Koh
2016,Norman Matloff
2016,Jacqueline Meulman
2016,Balasubramanian Narasimhan
2016,Karthik Ram
2016,Joseph Rickert
2016,Duncan Temple Lang
