"Australia",22
"Austria",69
"Belgium",30
"Brazil",3
"Burkina Faso",1
"Canada",13
"Chile",1
"China",3
"Costa Rica",1
"Curaçao",2
"Czech Republic",11
"Denmark",33
"Estonia",7
"Finland",13
"France",239
"Germany",160
"Hungary",3
"Iceland",1
"India",1
"Ireland",6
"Israel",1
"Italy",19
"Japan",6
"Latvia",7
"Lithuania",3
"Luxembourg",3
"Malta",4
"Mexico",1
"Netherlands",51
"New Zealand",4
"Norway",15
"Philippines",1
"Poland",22
"Portugal",1
"Réunion",1
"Romania",4
"Slovakia",2
"Slovenia",5
"South Africa",1
"South Korea",11
"Spain",30
"Sweden",7
"Switzerland",56
"Turkey",5
"United Kingdom",62
"United States",82
"Vietnam",1
